actor,predicted_rating
Matt Berry,2.816491408243833
Marion Cotillard,2.814574578290987
Daisy Ridley,2.8130191531709112
Rebecca De Mornay,2.6747136090177204
Matt Craven,2.663361980641005
Jane McGregor,2.657653526251713
Ian Hunter,2.600230051277967
Lew Ayres,2.5990265550645657
Jeanette MacDonald,2.598501377424204
Tom Wilkinson,2.5576278237711554
Jennifer Love Hewitt,2.552320805890045
Paul Nicholls,2.5471016455504
Shaun Baker,2.543546173102827
Dawid Ogrodnik,2.533479967302192
Busta Rhymes,2.531570083994128
Bubba Smith,2.516899045369028
Agnieszka Suchora,2.490493148392679
Tomasz Zietek,2.482317378402126
Stephen Chow,2.4400745415627094
Choi Gwi-hwa,2.4337221543313197
Ron Mael,2.4315717925670377
Olivia Rose Keegan,2.4270337857435598
Gigi Leung,2.4267233411982434
Wes Bentley,2.4219993567751112
Kate Bosworth,2.4213898730484504
Ma Dong-seok,2.4182157387249283
Son Suk-ku,2.415999887865538
Sammo Kam-Bo Hung,2.4141053678809388
Russell Mael,2.410255448904751
Ray Middleton,2.4087849238904417
John Wayne,2.408495188336989
Teddy Sears,2.4024721220486045
Julianne Hough,2.3965318945798284
Ona Munson,2.395339165206972
Penelope Mitchell,2.39442824630294
John Roberts,2.3897875488379685
Joel Makower,2.3895619092299945
Niu Tien,2.3841230842063412
Graham Appleby,2.3814218369364033
Vicki Smith,2.380831780334821
Man-Tat Ng,2.3794913370187873
Joel Rosenman,2.378978112642737
Jim Al-Khalili,2.374271859367517
Natasa Gollová,2.371987401237704
Mike Norris,2.3652762758792303
Jan Werich,2.3635582464763076
Judy Norton,2.360101402761354
Simon Yam,2.3574905949842426
Anant Nag,2.3555195756308662
Ralph Waite,2.355142691701715
Marie Vásová,2.352221658614636
Jon Walmsley,2.343898934537864
Rahart Adams,2.3398022541080974
Carey Scott,2.335348827510481
Brec Bassinger,2.3263738426111145
Smita Patil,2.3125159285285064
Naseeruddin Shah,2.3107620780265754
Deannie Ip,2.3017484220198026
Tiera Skovbye,2.3001212888033997
David A.R. White,2.297384668808499
Andy Lau,2.2960705167892987
Cem Yilmaz,2.288678378724476
Sharla Cheung,2.2687135017085116
Joanne Kelly,2.265012193857005
Rachel Skarsten,2.2617126242842702
Josephine Baker,2.261255523622884
Emmy Rossum,2.2591223823866544
Sergio Baldini,2.254019138214211
Gerardo Chendo,2.251256878389231
Jane Merrow,2.251241243226751
Mel Blanc,2.249645446440909
Lee Sung-min,2.249528136968422
Wendy Maldonado,2.2485022520077376
Daniel Breaker,2.247692352858159
Sol Alac,2.244623559491867
Kevin Jubinville,2.244567763029019
Sylvia Beach,2.244500914335724
Daniel Haley,2.2437591412340696
Eric Porter,2.240120497768643
Angharad Rees,2.2400313615061402
Dennis Quaid,2.23652882819591
Gabriel Byrne,2.235152327562014
Errol Flynn,2.2343668666692817
Elena Fokina,2.2339570540374076
Joe DeRita,2.2332824220122394
Joachim Hackethal,2.2319167098976402
Rory Cochrane,2.2289905585730447
Lindze Letherman,2.228776979527539
Jake Gyllenhaal,2.2234830040594424
Mark Dacascos,2.221358961633198
David Eugene Edwards,2.218957653412532
Laura Aris Alvarez,2.218423618244757
Larry Fine,2.2137902081321186
Jill Mack,2.2113963012640454
Jon Foo,2.2083360226060678
Coluche,2.2040367295347667
Ha Jung-woo,2.2038655566201286
Joe Pera,2.2000093502415776
Valerie Carpenter,2.199032603062362
Stan Freberg,2.198984299704169
Julia Lehman,2.198950814509656
Moe Howard,2.1971861245790385
Reginald Owen,2.1958119575973813
Bjørn Sundquist,2.1947480037076406
Amy Smart,2.1933965577465893
Major Dodson,2.1926204723416407
Dorothy Malone,2.1925814717977588
Kevin Nealon,2.191240233971474
Magdalena Wabitsch,2.1891390432025317
Gang Dong-won,2.1880970509050135
Robert C. Bruce,2.1879810182994364
Lane Smith,2.185958647672545
Gabrielle Anwar,2.1852688078679914
Jake Epstein,2.1840535216840595
Bailey,2.1836477251560633
Sheila Tyson,2.1823031125773955
Sam Kinison,2.1821815190629636
Eric Fagundes,2.18150826625569
Didier Kaminka,2.180592139512149
Tim Flynn,2.1783921991926567
Inbar Lavi,2.1782776955138163
The Sportsmen Quartet,2.177903648493749
Valérie Mairesse,2.1762332054983564
Efrem Zimbalist Jr.,2.1751910129219203
Randolph Scott,2.172369268987073
Tanner Gillman,2.1715854878916687
Ben Affleck,2.1708449060714767
Jay Rasumny,2.170350262769457
J. Farrell MacDonald,2.1696233790308166
Beverly D&apos;Angelo,2.1685422748967658
Caroline Ducey,2.1677372434592503
Karen Allen,2.1675375473388336
Michael Weatherly,2.167219342296363
Elisabeth Wabitsch,2.1668895914873554
Paris Warner,2.1664889982521722
Heinz Schubert,2.1664836933473
Vérénice Rudolph,2.163655178858657
Viggo Mortensen,2.159367499013321
Michaël Cohen,2.159021642452215
Chelsea Field,2.157427346953555
Daniel Cudmore,2.1564842744846366
Lucien Volsy-Roussel,2.1558538967706844
Rodney Dangerfield,2.155593784041715
Robin Dunne,2.155565413248185
James Russo,2.1541709636492734
Zachery Ty Bryan,2.150949111368329
Billy Eichner,2.1484994775323125
Samual Mann,2.1482567044546785
Claudette Colbert,2.1451728196696482
Christopher Heyerdahl,2.1424903492578458
Richard Widmark,2.1411612184249234
Taras Shevchenko,2.1404544861810155
Volodymyr Rashchuk,2.138428189670398
Eli Cohen,2.1376354665819273
Jon Johnston,2.1368798672529175
