userId,top_actors
5,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Rebecca De Mornay', 'Jane McGregor', 'Matt Craven', 'Jeanette MacDonald', 'Lew Ayres', 'Ian Hunter', 'Choi Gwi-hwa']"
7,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Lew Ayres', 'Jeanette MacDonald', 'Ian Hunter', 'Jane McGregor', 'Rebecca De Mornay', 'Matt Craven', 'Paul Nicholls']"
13,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Lew Ayres', 'Jeanette MacDonald', 'Ian Hunter', 'Jane McGregor', 'Rebecca De Mornay', 'Tomasz Zietek', 'Matt Craven']"
34,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Sammo Kam-Bo Hung', 'Wes Bentley', 'Kate Bosworth', 'Ona Munson']"
71,"['Marion Cotillard', 'Matt Berry', 'Daisy Ridley', 'Lew Ayres', 'Jeanette MacDonald', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Ian Hunter', 'Jane McGregor', 'Tomasz Zietek']"
102,"['Marion Cotillard', 'Matt Berry', 'Daisy Ridley', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Penelope Mitchell', 'Julianne Hough', 'Teddy Sears', 'Niu Tien']"
106,"['Wes Bentley', 'Kate Bosworth', 'Dawid Ogrodnik', 'Daisy Ridley', 'Matt Berry', 'Agnieszka Suchora', 'Marion Cotillard', 'Olivia Rose Keegan', 'Tomasz Zietek', 'Graham Appleby']"
129,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Penelope Mitchell', 'Teddy Sears', 'Julianne Hough', 'Wes Bentley']"
130,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Tomasz Zietek', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Niu Tien', 'Jane McGregor', 'Simon Yam', 'Lew Ayres']"
184,"['Daisy Ridley', 'Marion Cotillard', 'Matt Berry', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Tomasz Zietek', 'Jan Werich', 'Marie Vásová', 'Simon Yam', 'Niu Tien']"
239,"['Marion Cotillard', 'Daisy Ridley', 'Matt Berry', 'Tomasz Zietek', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Niu Tien', 'Beverly D&apos;Angelo', 'Marie Vásová', 'Bagus Mara Goesti']"
263,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Teddy Sears', 'Penelope Mitchell', 'Julianne Hough', 'Lew Ayres']"
286,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Ona Munson', 'Penelope Mitchell', 'Teddy Sears', 'Julianne Hough']"
299,"['Agnieszka Suchora', 'Dawid Ogrodnik', 'Daisy Ridley', 'Matt Berry', 'Tomasz Zietek', 'Marion Cotillard', 'Jan Werich', 'Natasa Gollová', 'Marie Vásová', 'Sam Kinison']"
303,"['Robin Dunne', 'Rodney Dangerfield', 'Bjørn Sundquist', 'Agnieszka Suchora', 'Saplak Njoman', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Bagus Mara Goesti', 'Sam Kinison', 'Caroline Ducey']"
322,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Simon Yam', 'Natasa Gollová', 'Jan Werich', 'Niu Tien']"
395,"['Teddy Sears', 'Penelope Mitchell', 'Robin Dunne', 'Agnieszka Suchora', 'Julianne Hough', 'Dan Payne', 'Joe Sample', 'Ha Jung-woo', 'Dawid Ogrodnik', 'Rodney Dangerfield']"
492,"['Lee Sung-min', 'Serkan Keskin', 'Rodney Dangerfield', 'Celeste M Cooper', 'Sam Kinison', 'Ha Jung-woo', 'Beverly D&apos;Angelo', 'Bjørn Sundquist', 'Robert Young', 'Gang Dong-won']"
512,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Teddy Sears', 'Dawid Ogrodnik', 'Penelope Mitchell', 'Lew Ayres', 'Julianne Hough', 'Ian Hunter', 'Tomasz Zietek']"
550,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Rebecca De Mornay', 'Jane McGregor', 'Matt Craven', 'Ian Hunter', 'Lew Ayres', 'Jeanette MacDonald', 'Tom Wilkinson']"
573,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Tomasz Zietek', 'Wes Bentley', 'Kate Bosworth', 'Olivia Rose Keegan', 'Natasa Gollová']"
574,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Natasa Gollová', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Lasse Kolsrud', 'Beverly D&apos;Angelo', 'Simon Yam']"
612,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Lew Ayres', 'Jeanette MacDonald', 'Ian Hunter', 'Agnieszka Suchora', 'Penelope Mitchell']"
669,"['Matt Berry', 'Daisy Ridley', 'Tomasz Zietek', 'Marion Cotillard', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Beverly D&apos;Angelo', 'Ray Middleton', 'Ona Munson', 'Bagus Mara Goesti']"
701,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Jan Werich', 'Agnieszka Suchora', 'Natasa Gollová', 'Simon Yam', 'Dawid Ogrodnik', 'Deannie Ip', 'Marie Vásová']"
719,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Jane McGregor', 'Rebecca De Mornay', 'Matt Craven', 'Tom Wilkinson', 'Jennifer Love Hewitt', 'Paul Nicholls', 'Tomasz Zietek']"
736,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Teddy Sears', 'Julianne Hough', 'Penelope Mitchell', 'Dawid Ogrodnik', 'Lew Ayres', 'Tomasz Zietek', 'Jeanette MacDonald']"
791,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Dawid Ogrodnik', 'Kate Bosworth', 'Tomasz Zietek', 'Wes Bentley', 'Agnieszka Suchora', 'Olivia Rose Keegan', 'Vicki Smith']"
796,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Tomasz Zietek', 'Penelope Mitchell', 'Teddy Sears', 'Julianne Hough', 'Niu Tien']"
798,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Agnieszka Suchora', 'Natasa Gollová', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Jan Werich', 'Simon Yam', 'Deannie Ip']"
801,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Lew Ayres', 'Jeanette MacDonald', 'Ian Hunter', 'Dawid Ogrodnik', 'Matt Craven', 'Jane McGregor', 'Tomasz Zietek']"
810,"['Rodney Dangerfield', 'Saplak Njoman', 'Ha Jung-woo', 'Lee Sung-min', 'Elena Bennett', 'Poetoe Aloes Goesti', 'Bjørn Sundquist', 'Robin Dunne', 'Dan Payne', 'Mathieu Amalric']"
845,"['Marion Cotillard', 'Matt Berry', 'Daisy Ridley', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Julianne Hough', 'Penelope Mitchell', 'Teddy Sears', 'Jeanette MacDonald']"
860,"['Teddy Sears', 'Penelope Mitchell', 'Julianne Hough', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Wes Bentley', 'Olivia Rose Keegan', 'Agnieszka Suchora', 'Kate Bosworth', 'Elena Fokina']"
897,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Lew Ayres', 'Jeanette MacDonald', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Ian Hunter', 'Agnieszka Suchora', 'Sammo Kam-Bo Hung']"
937,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Simon Yam', 'Teddy Sears', 'Penelope Mitchell', 'Julianne Hough']"
948,"['Daisy Ridley', 'Marion Cotillard', 'Matt Berry', 'Rebecca De Mornay', 'Jane McGregor', 'Matt Craven', 'Simon Yam', 'Natasa Gollová', 'Jeanette MacDonald', 'Lew Ayres']"
950,"['Daisy Ridley', 'Marion Cotillard', 'Matt Berry', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Natasa Gollová', 'Jan Werich', 'Robin Dunne', 'Teddy Sears']"
1018,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Dawid Ogrodnik', 'Sammo Kam-Bo Hung', 'Simon Yam', 'Rebecca De Mornay', 'Agnieszka Suchora', 'Matt Craven', 'Jane McGregor']"
1028,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Dawid Ogrodnik', 'Teddy Sears', 'Agnieszka Suchora', 'Penelope Mitchell', 'Julianne Hough', 'Tomasz Zietek', 'Olivia Rose Keegan']"
1037,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Jane McGregor', 'Rebecca De Mornay', 'Matt Craven', 'Lew Ayres', 'Jeanette MacDonald', 'Ian Hunter', 'Tom Wilkinson']"
1041,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Jane McGregor', 'Matt Craven', 'Jeanette MacDonald', 'Lew Ayres']"
1046,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Tomasz Zietek', 'Beverly D&apos;Angelo', 'Bagus Mara Goesti', 'Poetoe Aloes Goesti', 'Saplak Njoman']"
1060,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Kate Bosworth', 'Agnieszka Suchora', 'Wes Bentley', 'Dawid Ogrodnik', 'Olivia Rose Keegan', 'Simon Yam', 'Sammo Kam-Bo Hung']"
1070,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Bagus Mara Goesti', 'Gigi Leung', 'Robin Dunne', 'Teddy Sears']"
1071,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Julianne Hough', 'Penelope Mitchell', 'Teddy Sears', 'Joel Rosenman']"
1102,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Tomasz Zietek', 'Penelope Mitchell', 'Kate Bosworth', 'Wes Bentley', 'Teddy Sears']"
1157,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Joel Rosenman', 'John Roberts', 'Agnieszka Suchora', 'Ian Hunter', 'Lew Ayres']"
1225,"['Dawid Ogrodnik', 'Agnieszka Suchora', 'Tomasz Zietek', 'Daisy Ridley', 'Marion Cotillard', 'Matt Berry', 'Rodney Dangerfield', 'Marie Vásová', 'Robin Dunne', 'Bagus Mara Goesti']"
1261,"['Marion Cotillard', 'Daisy Ridley', 'Matt Berry', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Kate Bosworth', 'Wes Bentley', 'Olivia Rose Keegan', 'Jeanette MacDonald']"
1301,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Beverly D&apos;Angelo', 'Bagus Mara Goesti', 'Dan Payne', 'Saplak Njoman']"
1335,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Teddy Sears', 'Penelope Mitchell', 'Julianne Hough', 'Ona Munson']"
1345,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Agnieszka Suchora', 'Simon Yam', 'Natasa Gollová', 'Rebecca De Mornay', 'Jan Werich']"
1383,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Lew Ayres', 'Jeanette MacDonald', 'Ian Hunter', 'Jane McGregor', 'Rebecca De Mornay', 'Matt Craven', 'Tomasz Zietek']"
1399,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Penelope Mitchell', 'Teddy Sears', 'Julianne Hough', 'Bagus Mara Goesti']"
1417,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Tomasz Zietek', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Simon Yam', 'Matt Craven', 'Jane McGregor', 'Rebecca De Mornay']"
1418,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Jane McGregor', 'Rebecca De Mornay', 'Matt Craven', 'Busta Rhymes', 'Shaun Baker', 'Bubba Smith', 'Jeanette MacDonald']"
1424,"['Lee Sung-min', 'Ha Jung-woo', 'Robin Dunne', 'Bjørn Sundquist', 'Rodney Dangerfield', 'Saplak Njoman', 'Gang Dong-won', 'Natasa Gollová', 'Sam Kinison', 'Caroline Ducey']"
1431,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Sammo Kam-Bo Hung', 'Simon Yam', 'Niu Tien', 'Ray Middleton']"
1458,"['Marion Cotillard', 'Daisy Ridley', 'Matt Berry', 'Jeanette MacDonald', 'Lew Ayres', 'Ian Hunter', 'Jane McGregor', 'Dawid Ogrodnik', 'Tomasz Zietek', 'Rebecca De Mornay']"
1473,"['Marion Cotillard', 'Matt Berry', 'Daisy Ridley', 'Jane McGregor', 'Rebecca De Mornay', 'Matt Craven', 'Jeanette MacDonald', 'Bubba Smith', 'Lew Ayres', 'Ian Hunter']"
1551,"['Saplak Njoman', 'Rodney Dangerfield', 'Onur Saylak', 'Daniel Cudmore', 'Asuka Higuchi', 'Dan Payne', 'Poetoe Aloes Goesti', 'Jason Box', 'Ben Vereen', 'Elena Bennett']"
1567,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Lew Ayres', 'Jeanette MacDonald', 'Ian Hunter', 'Jane McGregor', 'Tomasz Zietek', 'Matt Craven', 'Dawid Ogrodnik']"
1573,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Teddy Sears', 'Julianne Hough', 'Penelope Mitchell', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'John Roberts']"
1576,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Tomasz Zietek', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Penelope Mitchell', 'Julianne Hough', 'Teddy Sears', 'Bagus Mara Goesti']"
1577,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Kate Bosworth', 'Wes Bentley', 'Olivia Rose Keegan', 'Dawid Ogrodnik', 'Graham Appleby', 'Vicki Smith', 'Tomasz Zietek']"
1649,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Kate Bosworth', 'Wes Bentley', 'Olivia Rose Keegan', 'Lew Ayres', 'Jeanette MacDonald', 'Dawid Ogrodnik', 'Ian Hunter']"
1688,"['Lee Sung-min', 'Ha Jung-woo', 'Jason Box', 'Joe Pera', 'Elena Bennett', 'Saplak Njoman', 'Deannie Ip', 'Guy Branum', 'Poetoe Aloes Goesti', 'Daniel Haley']"
1742,"['Daisy Ridley', 'Matt Berry', 'Marion Cotillard', 'Tom Wilkinson', 'Ian Hunter', 'Lew Ayres', 'Rebecca De Mornay', 'Agnieszka Suchora', 'Jane McGregor', 'Jennifer Love Hewitt']"
1749,"['Matt Berry', 'Daisy Ridley', 'Marion Cotillard', 'Kate Bosworth', 'Wes Bentley', 'Olivia Rose Keegan', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Graham Appleby', 'Sammo Kam-Bo Hung']"
1773,"['Marion Cotillard', 'Matt Berry', 'Daisy Ridley', 'Kate Bosworth', 'Olivia Rose Keegan', 'Wes Bentley', 'Graham Appleby', 'Teddy Sears', 'Penelope Mitchell', 'Julianne Hough']"
1791,"['Julianne Hough', 'Teddy Sears', 'Penelope Mitchell', 'Tomasz Zietek', 'Daisy Ridley', 'Marion Cotillard', 'Matt Berry', 'Dawid Ogrodnik', 'Agnieszka Suchora', 'Joel Makower']"
1799,"['Dan Payne', 'Robin Dunne', 'Rodney Dangerfield', 'Sam Kinison', 'Jeff East', 'Teddy Sears', 'Penelope Mitchell', 'Julianne Hough', 'Joe Sample', 'Poetoe Aloes Goesti']"
1803,"['Matt Berry', 'Marion Cotillard', 'Daisy Ridley', 'Tomasz Zietek', 'Agnieszka Suchora', 'Dawid Ogrodnik', 'Natasa Gollová', 'Simon Yam', 'Jan Werich', 'Ona Munson']"
