movieId,title,genres,top_actors
120510,Value for Money (1955),Comedy|Romance,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']"
212955,Face of Evil (1996),Drama|Thriller,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']"
193912,Spring 1941 (2007),Drama|Romance|War,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']"
163921,Wolf Creek (2016),Crime|Horror|Thriller,"['Richard Harris', 'James Earl Jones', 'Vusi Kunene']"
126652,Raven the Little Rascal (2012),Animation|Children,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']"
114854,Nicky's Family (2011),Documentary,"['Chris Farley', 'David Spade', 'Tim Matheson']"
242908,The Seventh Day (2021),Horror,"['Johnny Depp', 'Christopher Walken', 'Courtney Chase']"
171513,Crash! (1976),Horror,"['Nick Broomfield', 'Nina Xining Zuo', 'Madam Alex']"
194492,Fighting the Sky (2018),Sci-Fi,"['Al Pacino', 'John Cusack', 'Bridget Fonda']"
201512,Devlin (1992),Action|Drama,"['Ray Liotta', 'Linda Fiorentino', 'Peter Coyote']"
1194,Cheech and Chong's Up in Smoke (1978),Comedy,"['Adam Sandler', 'Christopher McDonald', 'Julie Bowen']"
248550,Fantail (2013),(no genres listed),"['Clint Eastwood', 'Meryl Streep', 'Annie Corley']"
92029,Westbound (1959),Western,"['Christy Turlington', 'Azzedine Alaïa', 'Giorgio Armani']"
151611,Addicted to Sexting (2015),Documentary,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']"
148797,Ginger & Cinnamon (2003),Comedy|Drama|Romance,"['Jackie Chan', 'Anita Mui', 'Françoise Yip']"
107147,Last Winter (L'hiver dernier) (2011),Drama,"['Kenneth Branagh', 'Glenn Close', 'Isa Baschwitz']"
199035,Blood Money (2017),Drama|Thriller,"['Eddie Murphy', 'Robin Givens', 'Halle Berry']"
139801,The Skulls III (2004),Thriller,"['Jason James Richter', 'Melody Kay', 'Jack Black']"
27685,Bring It On Again (2004),Comedy,"['Josh Charles', 'Anne Heche', 'John Goodman']"
154266,Critique de la séparation (1961),(no genres listed),"['Miranda Rhyne', 'Charlotte Eve Blythe', 'Anna Thomson']"
102411,Hurt (2009),Drama|Horror|Thriller,"['Vivian Paxton', 'Claudette Sutherland', 'Michael Ornstein']"
79580,"Yank in the R.A.F., A (1941)",Action|Adventure|Drama|Romance|War,"['Champa', 'Om Puri', 'Mohan Agashe']"
159209,Amongst White Clouds (2005),Documentary,"['Rafal Synówka', 'Jerzy Binczycki', 'Marzena Trybala']"
174069,No One Will Play with Me (1976),Drama,"['Jack Mulcahy', 'Michael McGlone', 'Edward Burns']"
177169,Men in the City (2013),Comedy|Romance,"['Stephen Lang', 'Ryan Slater', 'Yi Ding']"
215399,Cat on a Hot Tin Roof (1984),Drama,"['Isabelle Huppert', 'Martin Donovan', 'Elina Löwensohn']"
152858,Flyin' Ryan (2003),Children,"['Liam Neeson', 'Jessica Lange', 'John Hurt']"
273653,Agent Game (2022),Action|Thriller,"['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra']"
210311,Naked Weekend (1974),Comedy,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']"
60544,Manslaughter (Drabet) (2005),Drama,"['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty']"
222433,Love on a Diet (2001),Comedy|Drama|Romance,"['Laura Linney', 'Tim Curry', 'Dylan Walsh']"
129745,Five to One (1963),Crime,"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']"
188591,Death and the Compass (1992),Crime|Drama|Thriller,"['Thomas Gibson', 'Ruth Marshall', 'Cameron Bancroft']"
66389,AmericanEast (2008),Drama,"['Karan Ashley', 'Johnny Yong Bosch', 'Steve Cardenas']"
198781,Uri: The Surgical Strike (2019),Action|Drama,"['Elizabeth Perkins', 'Whoopi Goldberg', 'Kathleen Turner']"
182441,Rush: Time Stand Still (2016),Documentary,"['Christopher Walken', 'Elias Koteas', 'Virginia Madsen']"
168958,Sex in the Comix (2012),Documentary,"['Craig Mack', 'Dr. Dre', 'Afrika Bambaataa']"
287239,I'd Love to Take Orders from You (1936),Animation,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon']"
180641,Hers to Hold (1943),Drama,"['Ralph Fiennes', 'Angela Bassett', 'Juliette Lewis']"
215815,Strongman Ferdinand (1976),Drama,"['Daryl Hannah', 'Keith Carradine', 'Moira Kelly']"
211890,Get Out and Get Under (1920),Comedy,"['Daniel Stern', 'Jon Polito', 'Brad Sullivan']"
235059,Gabe the Cupid Dog (2012),Children|Comedy,"['Katrin Cartlidge', 'Rade Serbedzija', 'Grégoire Colin']"
212931,Keys to the Heart (2018),Comedy|Drama,"['Chris O&apos;Donnell', 'Minnie Driver', 'Geraldine O&apos;Rawe']"
59016,Street Kings (2008),Crime|Drama|Thriller,"['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']"
130942,Cool it Carol (1972),Comedy,"['Michael Douglas', 'Demi Moore', 'Donald Sutherland']"
169954,Prohibition (2011),Documentary,"['Dylan McDermott', 'Nancy Travis', 'Quentin Tarantino']"
198817,Payday (2018),Action|Drama|Mystery|Thriller,"['Sigourney Weaver', 'Ben Kingsley', 'Stuart Wilson']"
144584,Murderer (2009),Crime|Drama|Mystery|Thriller,"['Jeff Goldblum', 'Christine Lahti', 'Alicia Silverstone']"
27378,Long Time Dead (2002),Horror|Thriller,"['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein']"
93725,"Skin Too Few: The Days of Nick Drake, A (2002)",Documentary,"['Michael Boatman', 'Lori Petty', 'Erich Anderson']"
7491,"Naked Prey, The (1966)",Adventure,"['Christopher Lambert', 'John Lone', 'Joan Chen']"
170993,Mini's First Time (2006),Comedy|Crime|Drama,"['Brad Pitt', 'Tom Cruise', 'Antonio Banderas']"
378,Speechless (1994),Comedy|Romance,"['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson']"
242478,A Day in the Life of America (2019),Documentary,"['David Caruso', 'Samuel L. Jackson', 'Nicolas Cage']"
174397,The Worm Eaters (1977),Comedy|Horror,"['Tim Roth', 'Edward Furlong', 'Moira Kelly']"
73744,If You Love (Jos rakastat) (2010),Drama|Musical|Romance,"['Angel Aviles', 'Seidy Lopez', 'Jacob Vargas']"
157553,Arrambam (2013),Action|Drama|Thriller,"['Warren Beatty', 'Annette Bening', 'Katharine Hepburn']"
207407,Ice Twisters (2009),Action|Sci-Fi,"['Chevy Chase', 'Farrah Fawcett', 'Jonathan Taylor Thomas']"
190205,Road (1987),Comedy|Drama,"['Melanie Griffith', 'Ed Harris', 'Michael Patrick Carter']"
135787,Bruce Lee: A Warrior's Journey (2000),Documentary,"['Richard Attenborough', 'Elizabeth Perkins', 'Dylan McDermott']"
123534,Hercules in the Maze of the Minotaur (1994),Action|Adventure|Fantasy,"['Christian Slater', 'Kevin Bacon', 'Gary Oldman']"
206809,Our House (2017),Mystery,"['Paul Newman', 'Bruce Willis', 'Jessica Tandy']"
143128,Mrs. Santa Claus (1996),Children|Fantasy,"['William Baldwin', 'John Leguizamo', 'Sadie Frost']"
121430,The Horsemen (1971),Action|Adventure|Drama,"['Linus Roache', 'Tom Wilkinson', 'Robert Carlyle']"
86500,Service (Serbis) (2008),Drama,"['Yûki Kudô', 'Akira Takayama', 'Cary-Hiroyuki Tagawa']"
235021,Exterior/Night (2018),Adventure|Drama,"['Peter Falk', 'D.B. Sweeney', 'Julianne Moore']"
